iteration,accepted,SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV
0.0,first,203.0,-203.0,-400.0,-203.0,800.0,-203.0,-1e+200,281930061.693,377219.08437,282062329.006
1.0,accepted,203.0,-203.0,-404.320197795,-201.308506353,833.975592386,-203.0,-1e+200,282404124.798,385103.727699,282414882.247
2.0,rejected,203.0,-203.0,-415.924454928,-200.200880612,842.364910107,-203.0,-1e+200,282183196.205,310958.51954,282254262.56
3.0,rerun,203.0,-203.0,-404.320197795,-201.308506353,833.975592386,-203.0,-1e+200,282601001.569,351908.363333,282564668.331
4.0,accepted,203.0,-203.0,-404.911445259,-201.866036728,791.794837475,-203.0,-1e+200,282693008.532,361479.009676,282685849.637
5.0,rejected,203.0,-203.0,-400.209254979,-201.247452967,818.886524532,-203.0,-1e+200,282024341.565,365595.780669,282014239.529
6.0,rerun,203.0,-203.0,-404.911445259,-201.866036728,791.794837475,-203.0,-1e+200,282572661.553,330653.150307,282598197.051
7.0,accepted,203.0,-203.0,-408.06560146,-201.559787524,811.991652757,-203.0,-1e+200,282636887.945,326377.732608,282593996.566
8.0,accepted,203.0,-203.0,-409.89101351,-200.696940409,794.478094596,-203.0,-1e+200,282644580.366,269131.039606,282653305.514
9.0,rejected,203.0,-203.0,-404.156201376,-200.00930204,789.388277962,-203.0,-1e+200,282374915.451,379939.121873,282398736.249
10.0,rerun,203.0,-203.0,-409.89101351,-200.696940409,794.478094596,-203.0,-1e+200,282432665.932,353414.17099,282460550.724
11.0,accepted,203.0,-203.0,-410.540349454,-200.470832566,771.17369315,-203.0,-1e+200,282670607.172,460661.343054,282636873.223
12.0,rejected,203.0,-203.0,-413.475779403,-200.0,753.356911973,-203.0,-1e+200,282186264.794,399476.535995,282275879.85
13.0,rerun,203.0,-203.0,-410.540349454,-200.470832566,771.17369315,-203.0,-1e+200,282422659.072,362429.152528,282390743.497
14.0,accepted,203.0,-203.0,-407.676472415,-200.772063985,778.947174347,-203.0,-1e+200,282595357.611,323002.257909,282666006.984
15.0,rejected,203.0,-203.0,-408.028510756,-200.629946421,766.933815583,-203.0,-1e+200,282517659.519,380410.691832,282575345.383
16.0,rerun,203.0,-203.0,-407.676472415,-200.772063985,778.947174347,-203.0,-1e+200,282592540.076,468130.669394,282568711.289
17.0,accepted,203.0,-203.0,-409.000388338,-200.915934783,781.892696606,-203.0,-1e+200,282663356.931,312449.203274,282639658.045
18.0,accepted,203.0,-203.0,-409.197205659,-201.11081783,778.581702799,-203.0,-1e+200,282698462.105,325260.502257,282711198.496
19.0,accepted,203.0,-203.0,-408.471491774,-201.236751813,770.312814794,-203.0,-1e+200,282764395.916,423622.337673,282845554.814
20.0,accepted,203.0,-203.0,-405.993254135,-200.928723797,771.61505418,-203.0,-1e+200,282839551.549,222711.817933,282863450.429
21.0,rejected,203.0,-203.0,-403.980515746,-201.273212412,775.624204975,-203.0,-1e+200,282376475.033,251669.827534,282362082.565
22.0,rerun,203.0,-203.0,-405.993254135,-200.928723797,771.61505418,-203.0,-1e+200,282698684.572,381272.28651,282551271.676
23.0,rejected,203.0,-203.0,-404.185183351,-201.062719182,774.628690519,-203.0,-1e+200,282453498.801,383715.662753,282475000.33
24.0,rerun,203.0,-203.0,-405.993254135,-200.928723797,771.61505418,-203.0,-1e+200,282818408.143,451296.273134,282830348.81
25.0,rejected,203.0,-203.0,-406.830014718,-200.767018055,773.248510955,-203.0,-1e+200,282737296.307,323436.307856,282734556.215
26.0,rerun,203.0,-203.0,-405.993254135,-200.928723797,771.61505418,-203.0,-1e+200,282686545.611,477927.379647,282652117.37
