SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-NewBOP_capacity,prefix,ProbabilityWeight-TES_capacity,ProbabilityWeight-Charger_capacity
203.0,-203.0,-380.0,-200.0,600.0,-203.0,-1e+200,279612418.393,363521.967027,279657045.659,280306763.629,278938880.219,278970717.766,280025481.567,18.0,132148220511.0,2.31160425335e-06,0.0115580212668,0.142857142857,8,0.161812297735,0.5
203.0,-203.0,-400.0,-200.0,900.0,-203.0,-1e+200,283162990.43,511797.399908,283151072.542,284219837.392,282151925.508,282506649.359,284003272.865,18.0,261936578553.0,2.31160425335e-06,0.00577901063338,0.0714285714286,3,0.161812297735,0.5
203.0,-203.0,-400.0,-200.0,600.0,-203.0,-1e+200,282278987.622,531860.591498,282184881.846,283494937.956,281379245.81,281630236.866,283230505.636,20.0,282875688789.0,2.31160425335e-06,0.00577901063338,0.0714285714286,1,0.161812297735,0.5
203.0,-203.0,-400.0,-200.0,1100.0,-203.0,-1e+200,282673900.029,423527.557333,282726232.915,283294636.179,281712669.426,281917171.612,283240368.079,19.0,179375591821.0,2.31160425335e-06,0.00577901063338,0.0714285714286,5,0.161812297735,0.5
203.0,-203.0,-400.0,-200.0,800.0,-203.0,-1e+200,282988745.205,405234.333532,283082305.187,283698363.736,282251632.214,282316734.668,283596563.206,18.0,164214865073.0,2.31160425335e-06,0.00866851595007,0.0714285714286,2,0.242718446602,0.5
203.0,-203.0,-400.0,-200.0,1000.0,-203.0,-1e+200,282969169.836,399511.736515,283016418.739,283997468.877,281868693.659,282553009.248,283383477.546,20.0,159609627614.0,2.31160425335e-06,0.00577901063338,0.0714285714286,4,0.161812297735,0.5
203.0,-203.0,-400.0,-200.0,1200.0,-203.0,-1e+200,282274635.762,370484.853007,282220626.196,283122288.242,281748275.211,281861627.294,282905950.595,19.0,137259026307.0,2.31160425335e-06,0.00340961627369,0.0714285714286,6,0.0954692556634,0.5
203.0,-203.0,-400.0,-200.0,1218.0,-203.0,-1e+200,282086190.853,371765.741768,282066361.236,282666991.801,281405914.526,281551627.101,282627500.05,20.0,138209766752.0,2.31160425335e-06,0.000520110957004,0.0714285714286,7,0.0145631067961,0.5
203.0,-203.0,-380.0,-200.0,800.0,-203.0,-1e+200,280206197.441,275173.205016,280214318.93,280548139.924,279659739.978,279713243.265,280524355.001,19.0,75720292759.0,2.31160425335e-06,0.0173370319001,0.142857142857,9,0.242718446602,0.5
203.0,-203.0,-380.0,-200.0,900.0,-203.0,-1e+200,279820029.491,330961.68253,279741779.137,280372342.028,279360247.896,279412835.399,280330426.22,17.0,109535635303.0,2.31160425335e-06,0.0115580212668,0.142857142857,10,0.161812297735,0.5
203.0,-203.0,-380.0,-200.0,1000.0,-203.0,-1e+200,279734378.876,452837.351997,279617037.188,280811555.937,279068058.464,279116886.727,280406196.9,20.0,205061667364.0,2.31160425335e-06,0.0115580212668,0.142857142857,11,0.161812297735,0.5
203.0,-203.0,-360.0,-200.0,600.0,-203.0,-1e+200,276652291.045,314057.197165,276622332.901,277345789.684,276238732.261,276243322.703,277187810.577,18.0,98631923091.3,2.31160425335e-06,0.0115580212668,0.142857142857,15,0.161812297735,0.5
203.0,-203.0,-380.0,-200.0,1100.0,-203.0,-1e+200,279151305.434,426811.14848,279263642.694,279921619.122,278234612.463,278499563.059,279881716.457,18.0,182167756467.0,2.31160425335e-06,0.0115580212668,0.142857142857,12,0.161812297735,0.5
203.0,-203.0,-380.0,-200.0,1200.0,-203.0,-1e+200,278961934.119,428907.626073,278953529.874,279724908.299,278256550.858,278424510.504,279592623.012,19.0,183961751704.0,2.31160425335e-06,0.00681923254739,0.142857142857,13,0.0954692556634,0.5
203.0,-203.0,-360.0,-200.0,800.0,-203.0,-1e+200,276730689.914,402918.282954,276669441.748,277650734.981,275982184.86,276205548.946,277300843.482,18.0,162343142738.0,2.31160425335e-06,0.0173370319001,0.142857142857,16,0.242718446602,0.5
203.0,-203.0,-380.0,-200.0,1218.0,-203.0,-1e+200,278597453.225,345619.705371,278605420.879,279259159.762,277895766.93,278040531.055,279018757.777,19.0,119452980740.0,2.31160425335e-06,0.00104022191401,0.142857142857,14,0.0145631067961,0.5
203.0,-203.0,-360.0,-200.0,900.0,-203.0,-1e+200,276431148.264,366434.665115,276515282.26,277099064.157,275627579.707,275949416.081,276964258.292,20.0,134274363798.0,2.31160425335e-06,0.0115580212668,0.142857142857,17,0.161812297735,0.5
203.0,-203.0,-360.0,-200.0,1000.0,-203.0,-1e+200,275946313.696,308916.787294,275870982.421,276625415.653,275368385.649,275577877.401,276353853.321,19.0,95429581472.3,2.31160425335e-06,0.0115580212668,0.142857142857,18,0.161812297735,0.5
203.0,-203.0,-360.0,-200.0,1100.0,-203.0,-1e+200,275405276.001,357195.957611,275454164.097,275944250.573,274595483.586,274851675.678,275855081.376,19.0,127588952134.0,2.31160425335e-06,0.0115580212668,0.142857142857,19,0.161812297735,0.5
203.0,-203.0,-340.0,-200.0,600.0,-203.0,-1e+200,273258973.817,327677.164241,273268099.297,273824797.712,272543729.712,272565881.308,273714657.922,18.0,107372323965.0,2.31160425335e-06,0.0173370319001,0.214285714286,22,0.161812297735,0.5
203.0,-203.0,-360.0,-200.0,1218.0,-203.0,-1e+200,274624974.028,324643.137374,274605154.649,275443707.495,274151170.594,274221361.523,275060493.554,20.0,105393166644.0,2.31160425335e-06,0.00104022191401,0.142857142857,21,0.0145631067961,0.5
203.0,-203.0,-360.0,-200.0,1200.0,-203.0,-1e+200,274876096.918,371713.618418,274933345.743,275622500.52,274035809.721,274202809.61,275368730.4,20.0,138171014118.0,2.31160425335e-06,0.00681923254739,0.142857142857,20,0.0954692556634,0.5
203.0,-203.0,-340.0,-200.0,800.0,-203.0,-1e+200,272993914.581,317420.374738,273033518.474,273773251.993,272252481.996,272373294.445,273245640.518,20.0,100755694299.0,2.31160425335e-06,0.0260055478502,0.214285714286,23,0.242718446602,0.5
203.0,-203.0,-340.0,-200.0,900.0,-203.0,-1e+200,272543744.701,346938.056844,272566791.386,273300637.84,272097529.019,272107287.031,273116173.718,20.0,120366015287.0,2.31160425335e-06,0.0173370319001,0.214285714286,24,0.161812297735,0.5
203.0,-203.0,-340.0,-200.0,1000.0,-203.0,-1e+200,271917325.288,353499.849704,271975487.903,272329414.408,271164272.813,271353109.453,272311564.346,17.0,124962143741.0,2.31160425335e-06,0.0173370319001,0.214285714286,25,0.161812297735,0.5
203.0,-203.0,-340.0,-200.0,1100.0,-203.0,-1e+200,271364502.307,314620.560887,271356047.467,271796694.705,270754539.501,270828880.293,271762100.745,17.0,98986097332.7,2.31160425335e-06,0.0173370319001,0.214285714286,26,0.161812297735,0.5
203.0,-203.0,-340.0,-200.0,1200.0,-203.0,-1e+200,270601682.759,264160.59734,270591460.13,271057456.178,270065706.045,270302667.937,270896668.238,20.0,69780821187.1,2.31160425335e-06,0.0102288488211,0.214285714286,27,0.0954692556634,0.5
203.0,-203.0,-340.0,-200.0,1218.0,-203.0,-1e+200,270397150.637,369231.614794,270411355.394,271171795.699,269741936.432,269889338.143,271007647.561,20.0,136331985363.0,2.31160425335e-06,0.00156033287101,0.214285714286,28,0.0145631067961,0.5
203.0,-203.0,-300.0,-200.0,600.0,-203.0,-1e+200,265468003.075,294992.808798,265364760.163,266030144.133,265002717.994,265114252.719,265895724.056,17.0,87020757242.6,2.31160425335e-06,0.0231160425335,0.285714285714,29,0.161812297735,0.5
203.0,-203.0,-300.0,-200.0,800.0,-203.0,-1e+200,264375353.551,365953.677509,264338310.047,265225938.731,263769475.87,263860600.601,264917178.134,17.0,133922094082.0,2.31160425335e-06,0.0346740638003,0.285714285714,30,0.242718446602,0.5
203.0,-203.0,-300.0,-200.0,900.0,-203.0,-1e+200,263618181.027,295672.069962,263603189.859,264292304.498,263247910.656,263282233.766,264072323.401,17.0,87421972955.8,2.31160425335e-06,0.0231160425335,0.285714285714,31,0.161812297735,0.5
203.0,-203.0,-300.0,-200.0,1000.0,-203.0,-1e+200,262718980.241,328828.136007,262723202.271,263349648.214,262231395.37,262274060.547,263330280.117,18.0,108127943030.0,2.31160425335e-06,0.0231160425335,0.285714285714,32,0.161812297735,0.5
