iteration,accepted,SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV
0.0,first,203.0,-203.0,-400.0,-203.0,1000.0,-203.0,-1e+200,305212146.208,553023.16954,305184886.862
1.0,accepted,203.0,-203.0,-410.439036378,-203.322982385,1044.26911474,-203.0,-1e+200,305949748.845,415933.510366,305941006.112
2.0,rejected,203.0,-203.0,-412.066259602,-204.531929801,988.503041828,-203.0,-1e+200,305676753.173,435224.053717,305807887.727
3.0,rerun,203.0,-203.0,-410.439036378,-203.322982385,1044.26911474,-203.0,-1e+200,306072017.775,237313.507958,306064652.947
4.0,rejected,203.0,-203.0,-415.762761529,-204.304464189,1063.09573167,-203.0,-1e+200,305644645.506,402164.406519,305551703.676
5.0,rerun,203.0,-203.0,-410.439036378,-203.322982385,1044.26911474,-203.0,-1e+200,305916458.871,466100.386263,305736444.685
6.0,rejected,203.0,-203.0,-415.798865507,-202.893449396,1049.26466361,-203.0,-1e+200,305517460.05,439486.573332,305536005.507
7.0,rerun,203.0,-203.0,-410.439036378,-203.322982385,1044.26911474,-203.0,-1e+200,306119265.573,427613.174108,306189490.511
8.0,rejected,203.0,-203.0,-413.529982452,-203.391715839,1057.58456732,-203.0,-1e+200,305648102.285,384099.340916,305613857.99
9.0,rerun,203.0,-203.0,-410.439036378,-203.322982385,1044.26911474,-203.0,-1e+200,305899307.516,509954.945494,305750559.673
10.0,rejected,203.0,-203.0,-411.053314143,-203.602995126,1034.74356727,-203.0,-1e+200,305951342.291,410181.941428,306006207.607
11.0,rerun,203.0,-203.0,-410.439036378,-203.322982385,1044.26911474,-203.0,-1e+200,306014222.25,437063.420083,306169262.167
12.0,rejected,203.0,-203.0,-410.684860151,-203.208344174,1036.07603976,-203.0,-1e+200,305813055.559,343712.836128,305836413.662
13.0,rerun,203.0,-203.0,-410.439036378,-203.322982385,1044.26911474,-203.0,-1e+200,305899675.482,392074.123689,305864264.753
14.0,accepted,203.0,-203.0,-409.966880586,-203.200981817,1040.4111289,-203.0,-1e+200,306002011.847,383627.443529,305946760.303
15.0,rejected,203.0,-203.0,-411.953885411,-203.174352769,1043.91028901,-203.0,-1e+200,305899185.107,320606.54576,305889954.588
16.0,rerun,203.0,-203.0,-409.966880586,-203.200981817,1040.4111289,-203.0,-1e+200,305951351.377,410342.783294,305985661.244
17.0,rejected,203.0,-203.0,-411.340017718,-203.193132048,1041.9778644,-203.0,-1e+200,305798515.007,478040.099866,305747963.787
18.0,rerun,203.0,-203.0,-409.966880586,-203.200981817,1040.4111289,-203.0,-1e+200,305964419.911,449434.716798,305950235.644
19.0,rejected,203.0,-203.0,-410.503481444,-203.316464898,1040.64518318,-203.0,-1e+200,305789206.089,363833.119799,305802025.701
20.0,rerun,203.0,-203.0,-409.966880586,-203.200981817,1040.4111289,-203.0,-1e+200,306020391.07,566261.023896,306070886.036
21.0,rejected,203.0,-203.0,-409.776675595,-203.244784919,1037.80859485,-203.0,-1e+200,305968776.077,355406.627249,305977147.273
22.0,rerun,203.0,-203.0,-409.966880586,-203.200981817,1040.4111289,-203.0,-1e+200,305990223.689,665398.07726,306162449.982
23.0,accepted,203.0,-203.0,-409.616706542,-203.175505597,1039.65409968,-203.0,-1e+200,305989128.808,365862.6767,305951642.717
24.0,accepted,203.0,-203.0,-409.244628873,-203.221252977,1040.86149565,-203.0,-1e+200,305992948.567,408282.069906,305983643.791
25.0,accepted,203.0,-203.0,-408.836643207,-203.154680623,1040.31709085,-203.0,-1e+200,306074335.993,393452.115934,306100413.519
26.0,rejected,203.0,-203.0,-408.890682325,-203.244648862,1040.01559228,-203.0,-1e+200,305853541.397,535914.009646,305810692.154
27.0,rerun,203.0,-203.0,-408.836643207,-203.154680623,1040.31709085,-203.0,-1e+200,305955704.845,345831.919395,305914636.785
28.0,accepted,203.0,-203.0,-408.456631249,-203.145909843,1040.92891079,-203.0,-1e+200,306034346.058,464024.093119,305984583.855
29.0,rejected,203.0,-203.0,-408.602239869,-203.152753448,1039.27972994,-203.0,-1e+200,305979065.841,412816.916455,306056648.723
30.0,rerun,203.0,-203.0,-408.456631249,-203.145909843,1040.92891079,-203.0,-1e+200,305900319.357,391556.521953,305876729.655
31.0,accepted,203.0,-203.0,-408.437703154,-203.1385366,1042.11134113,-203.0,-1e+200,306066187.818,402267.980518,306078666.629
32.0,accepted,203.0,-203.0,-408.329647655,-203.155064835,1041.81496639,-203.0,-1e+200,306092678.946,554507.28149,306107088.3
33.0,rejected,203.0,-203.0,-408.352193619,-203.139522224,1041.36843873,-203.0,-1e+200,305917357.688,558544.58138,305976987.699
34.0,rerun,203.0,-203.0,-408.329647655,-203.155064835,1041.81496639,-203.0,-1e+200,305891549.326,347903.395868,305866943.934
35.0,rejected,203.0,-203.0,-408.365106203,-203.1641168,1041.51316414,-203.0,-1e+200,305983170.287,549908.125794,305915338.999
36.0,rerun,203.0,-203.0,-408.329647655,-203.155064835,1041.81496639,-203.0,-1e+200,306102421.016,384775.838095,306042829.819
37.0,accepted,203.0,-203.0,-408.305910433,-203.146933004,1041.72920559,-203.0,-1e+200,306161706.029,416802.243478,306170996.614
38.0,rejected,203.0,-203.0,-408.304827302,-203.154270565,1041.69201594,-203.0,-1e+200,305969905.661,437619.26713,305979482.914
39.0,rerun,203.0,-203.0,-408.305910433,-203.146933004,1041.72920559,-203.0,-1e+200,306026826.341,507744.667954,306096829.101
40.0,accepted,203.0,-203.0,-408.322289014,-203.144567268,1041.60966368,-203.0,-1e+200,306129083.684,480093.148105,306051386.473
41.0,rejected,203.0,-203.0,-408.341374961,-203.143327178,1041.51336783,-203.0,-1e+200,306103068.794,490200.026254,306160517.366
42.0,rerun,203.0,-203.0,-408.322289014,-203.144567268,1041.60966368,-203.0,-1e+200,305972478.275,478383.34611,305892315.55
43.0,rejected,203.0,-203.0,-408.336717093,-203.143740536,1041.66411108,-203.0,-1e+200,305886451.441,474228.038342,305797788.395
44.0,rerun,203.0,-203.0,-408.322289014,-203.144567268,1041.60966368,-203.0,-1e+200,306050117.654,454900.368549,305995060.001
45.0,rejected,203.0,-203.0,-408.321613746,-203.144888286,1041.54767836,-203.0,-1e+200,305989935.61,393595.840417,305937171.44
46.0,rerun,203.0,-203.0,-408.322289014,-203.144567268,1041.60966368,-203.0,-1e+200,306108768.766,453538.979458,306083716.209
47.0,rejected,203.0,-203.0,-408.330601572,-203.144729474,1041.60703831,-203.0,-1e+200,306033111.344,376935.756863,306031893.914
48.0,rerun,203.0,-203.0,-408.322289014,-203.144567268,1041.60966368,-203.0,-1e+200,306201108.893,435593.654812,306331939.442
49.0,rejected,203.0,-203.0,-408.327408207,-203.144616342,1041.59843918,-203.0,-1e+200,306015092.392,425175.545589,305947205.8
50.0,rerun,203.0,-203.0,-408.322289014,-203.144567268,1041.60966368,-203.0,-1e+200,306104366.263,449424.476068,306212138.616
51.0,rejected,203.0,-203.0,-408.325583142,-203.144578929,1041.60089266,-203.0,-1e+200,306053475.665,530425.917438,306203760.163
52.0,rerun,203.0,-203.0,-408.322289014,-203.144567268,1041.60966368,-203.0,-1e+200,305983407.407,350295.594395,305934847.424
53.0,accepted,203.0,-203.0,-408.323714323,-203.144635757,1041.61960494,-203.0,-1e+200,306078962.083,518232.421806,306158637.197
54.0,accepted,203.0,-203.0,-408.32441502,-203.144526138,1041.63228381,-203.0,-1e+200,306186073.128,446257.890107,306238698.938
55.0,rejected,203.0,-203.0,-408.322114589,-203.144016734,1041.64556812,-203.0,-1e+200,305963211.767,346060.086096,306060920.996
