SteamGen_capacity,Converter1_capacity,NewBOP_capacity,Charger_capacity,TES_capacity,Convert2_capacity,Grid_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-NewBOP_capacity,ProbabilityWeight-Charger_capacity,prefix,ProbabilityWeight,ProbabilityWeight-TES_capacity,PointProbability
203.0,-203.0,-250.0,-203.0,300.0,-203.0,-1e+200,273439588.09,1496815.89863,273439588.09,274497996.762,272381179.418,272487020.285,274392155.895,2.0,2.24045783438e+12,0.02,0.00980392156863,3,1.6339869281e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-250.0,-203.0,500.0,-203.0,-1e+200,279969023.785,,279969023.785,279969023.785,279969023.785,279969023.785,279969023.785,1.0,,0.02,0.00980392156863,5,1.6339869281e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-250.0,-203.0,400.0,-203.0,-1e+200,277259600.478,,277259600.478,277259600.478,277259600.478,277259600.478,277259600.478,1.0,,0.02,0.00980392156863,4,1.6339869281e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-240.0,-203.0,500.0,-203.0,-1e+200,277473227.525,1615118.24584,277545824.416,279360308.459,275440952.809,275719324.025,279125495.377,4.0,2.60860694805e+12,0.04,0.00980392156863,19,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-240.0,-203.0,400.0,-203.0,-1e+200,273232728.669,2462924.82804,272243111.801,276823696.389,271620994.687,271622666.216,276228254.738,4.0,6.06599870859e+12,0.04,0.00980392156863,18,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-250.0,-203.0,200.0,-203.0,-1e+200,272259025.219,1659415.30942,272949600.497,273983548.311,269662942.946,270073156.114,273783843.76,5.0,2.75365916914e+12,0.02,0.00980392156863,2,1.6339869281e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-250.0,-203.0,700.0,-203.0,-1e+200,281119710.479,2153993.08898,281693421.643,282928762.303,278736947.492,279032594.907,282805228.237,3.0,4.63968622736e+12,0.02,0.00980392156863,7,1.6339869281e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-250.0,-203.0,600.0,-203.0,-1e+200,281977417.225,428922.454711,281977417.225,282280711.202,281674123.249,281704452.647,282250381.804,2.0,183974472156.0,0.02,0.00980392156863,6,1.6339869281e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-240.0,-203.0,300.0,-203.0,-1e+200,272426888.531,1375091.3924,272206256.709,275756571.764,271067247.289,271099026.403,274540196.307,9.0,1.89087633746e+12,0.04,0.00980392156863,17,3.26797385621e-05,0.0833333333333,2.17864923747e-08
203.0,-203.0,-250.0,-203.0,100.0,-203.0,-1e+200,267605681.661,2028028.93169,268423628.688,270913856.587,263414530.182,264362711.487,269815434.103,15.0,4.11290134778e+12,0.02,0.00980392156863,1,8.16993464052e-06,0.0416666666667,2.17864923747e-08
