price,hour
21.14,1
20.61,2
20.22,3
20.63,4
21.02,5
21.8,6
24.45,7
27.29,8
27.68,9
27.64,10
24.18,11
22.47,12
21.51,13
20.8,14
20.47,15
19.91,16
20.76,17
27.76,18
34.92,19
31.54,20
27.95,21
25.91,22
23.24,23
22.41,24
20.78,25
20.1,26
20.26,27
20.79,28
22.56,29
26.62,30
37.79,31
43.74,32
32.05,33
28.62,34
27.29,35
23.37,36
22.85,37
22.11,38
21.3,39
20.8,40
21.03,41
25.93,42
28.6,43
27.08,44
25.98,45
24.35,46
22.77,47
22.06,48
20.7,49
19.82,50
20.02,51
20.48,52
20.9,53
24.8,54
44.02,55
40.7,56
29.25,57
27.27,58
25.69,59
23.5,60
22.74,61
22.27,62
21.46,63
21.3,64
23.02,65
26.94,66
31.06,67
28.16,68
27.97,69
25.95,70
23.1,71
22.77,72
22.57,73
21.57,74
21.13,75
22.62,76
24.07,77
28.17,78
45.54,79
43.0,80
31.08,81
27.89,82
26.05,83
24.18,84
23.3,85
22.7,86
21.77,87
21.83,88
22.18,89
27.56,90
31.31,91
26.26,92
25.48,93
23.26,94
23.18,95
22.28,96
17.88,97
16.51,98
16.26,99
16.49,100
17.56,101
22.55,102
34.35,103
32.07,104
26.97,105
25.14,106
24.43,107
21.93,108
21.23,109
20.96,110
20.91,111
20.94,112
20.94,113
28.78,114
34.68,115
24.75,116
23.61,117
23.61,118
22.13,119
20.9,120
17.86,121
16.29,122
15.82,123
16.0,124
16.3,125
18.22,126
21.97,127
22.12,128
23.2,129
23.89,130
23.51,131
23.04,132
22.19,133
21.62,134
21.35,135
20.94,136
21.81,137
28.98,138
36.05,139
27.88,140
25.99,141
24.87,142
22.18,143
21.06,144
19.68,145
18.33,146
17.68,147
17.67,148
18.04,149
19.18,150
22.23,151
22.14,152
23.23,153
22.9,154
23.03,155
23.04,156
22.19,157
21.41,158
21.0,159
20.89,160
21.31,161
28.34,162
35.73,163
26.79,164
24.91,165
23.54,166
21.16,167
19.92,168
19.79,169
18.11,170
18.03,171
18.09,172
18.72,173
19.94,174
30.57,175
30.79,176
25.8,177
26.66,178
26.94,179
26.7,180
25.91,181
25.51,182
24.85,183
24.04,184
24.76,185
36.86,186
43.22,187
32.34,188
28.35,189
26.7,190
23.39,191
23.0,192
20.29,193
18.96,194
18.87,195
19.06,196
20.21,197
22.94,198
35.19,199
33.47,200
26.44,201
25.74,202
25.49,203
24.09,204
23.15,205
22.43,206
21.91,207
21.57,208
21.65,209
31.22,210
43.55,211
33.54,212
27.74,213
24.61,214
23.26,215
22.61,216
20.81,217
19.64,218
19.62,219
19.9,220
21.44,221
26.64,222
43.17,223
46.05,224
30.51,225
27.56,226
26.95,227
23.97,228
22.83,229
22.82,230
21.99,231
21.25,232
21.28,233
27.97,234
29.69,235
27.29,236
25.95,237
23.81,238
23.23,239
21.85,240
19.29,241
18.38,242
18.67,243
19.03,244
20.5,245
24.43,246
39.99,247
42.97,248
32.3,249
28.21,250
27.87,251
25.08,252
23.65,253
23.17,254
22.6,255
22.4,256
22.94,257
36.37,258
49.69,259
39.31,260
33.54,261
30.4,262
27.91,263
26.59,264
21.68,265
20.96,266
21.33,267
21.48,268
23.76,269
29.0,270
57.92,271
50.96,272
32.04,273
27.62,274
25.04,275
23.78,276
21.89,277
20.35,278
19.5,279
19.03,280
18.58,281
23.56,282
25.56,283
24.05,284
23.13,285
22.13,286
21.72,287
21.09,288
21.28,289
20.64,290
20.24,291
20.39,292
21.31,293
24.61,294
32.65,295
36.85,296
31.77,297
26.68,298
24.37,299
21.76,300
20.42,301
19.45,302
18.61,303
18.33,304
18.31,305
22.55,306
25.11,307
23.04,308
22.19,309
20.97,310
19.63,311
20.3,312
18.73,313
17.49,314
17.17,315
17.69,316
17.99,317
19.34,318
23.11,319
25.08,320
24.01,321
22.79,322
21.7,323
19.98,324
18.97,325
17.65,326
16.95,327
16.67,328
17.35,329
21.66,330
25.18,331
22.57,332
21.89,333
20.65,334
18.99,335
