price,hour
12.81,1
12.04,2
12.32,3
12.54,4
10.6,5
9.75,6
10.58,7
10.61,8
12.55,9
13.27,10
14.46,11
13.3,12
14.36,13
15.35,14
15.09,15
16.22,16
18.57,17
23.32,18
20.36,19
16.09,20
14.33,21
10.38,22
10.33,23
9.41,24
9.53,25
7.01,26
6.67,27
7.04,28
6.11,29
6.97,30
7.12,31
8.94,32
10.7,33
13.52,34
15.73,35
15.17,36
15.64,37
16.14,38
15.91,39
17.3,40
19.45,41
27.87,42
25.31,43
22.46,44
20.27,45
17.1,46
16.08,47
14.73,48
12.36,49
10.7,50
10.63,51
9.79,52
9.22,53
9.74,54
10.18,55
10.55,56
13.4,57
15.28,58
17.85,59
20.08,60
19.98,61
19.13,62
19.64,63
19.93,64
22.73,65
28.7,66
26.29,67
23.81,68
20.01,69
17.49,70
15.38,71
15.14,72
10.84,73
10.46,74
10.98,75
10.61,76
12.62,77
15.54,78
18.63,79
24.08,80
23.74,81
24.24,82
23.23,83
22.27,84
21.44,85
21.4,86
21.42,87
21.73,88
23.76,89
34.63,90
27.47,91
24.63,92
22.62,93
21.62,94
20.31,95
17.02,96
16.43,97
15.04,98
16.02,99
14.22,100
14.38,101
16.46,102
20.57,103
23.38,104
23.17,105
24.99,106
24.56,107
24.15,108
22.78,109
22.62,110
22.36,111
23.19,112
24.92,113
36.27,114
29.49,115
26.56,116
24.12,117
21.62,118
17.84,119
16.99,120
16.28,121
16.11,122
16.64,123
16.03,124
16.1,125
18.85,126
22.32,127
24.36,128
25.55,129
26.37,130
26.57,131
24.47,132
23.88,133
23.56,134
23.18,135
22.76,136
25.9,137
33.74,138
29.55,139
25.66,140
24.66,141
22.06,142
20.3,143
18.07,144
17.62,145
16.3,146
15.87,147
16.09,148
16.75,149
19.46,150
20.74,151
18.8,152
18.86,153
18.77,154
17.86,155
17.9,156
17.84,157
17.93,158
17.89,159
17.84,160
17.58,161
36.12,162
31.73,163
28.5,164
26.33,165
25.08,166
21.76,167
19.64,168
19.47,169
17.73,170
16.86,171
16.96,172
17.55,173
19.64,174
22.26,175
25.23,176
26.44,177
25.87,178
24.87,179
24.07,180
23.85,181
23.66,182
23.59,183
23.93,184
28.86,185
37.65,186
31.35,187
25.74,188
25.72,189
24.54,190
22.17,191
21.07,192
20.74,193
18.24,194
18.04,195
18.57,196
18.39,197
18.7,198
18.04,199
20.47,200
25.85,201
24.42,202
23.79,203
22.15,204
20.82,205
20.34,206
20.5,207
20.07,208
24.78,209
31.11,210
25.95,211
25.04,212
22.14,213
21.48,214
20.31,215
18.91,216
21.06,217
18.81,218
18.37,219
18.16,220
17.59,221
17.94,222
19.7,223
19.44,224
22.14,225
21.66,226
23.19,227
22.48,228
22.15,229
21.53,230
21.81,231
22.12,232
26.08,233
33.92,234
28.09,235
24.78,236
24.76,237
22.05,238
22.45,239
19.65,240
23.05,241
20.81,242
20.54,243
19.78,244
20.02,245
23.13,246
26.04,247
26.6,248
30.18,249
29.54,250
28.37,251
26.44,252
25.99,253
25.12,254
25.0,255
24.2,256
28.92,257
38.24,258
28.93,259
28.35,260
27.3,261
24.75,262
22.55,263
21.66,264
19.44,265
17.63,266
17.35,267
17.73,268
19.77,269
20.62,270
24.16,271
26.68,272
28.55,273
28.04,274
26.91,275
25.73,276
25.04,277
24.55,278
24.32,279
24.57,280
28.46,281
37.71,282
32.67,283
28.84,284
27.06,285
25.18,286
22.56,287
21.09,288
19.39,289
18.28,290
17.01,291
17.35,292
18.03,293
18.49,294
23.64,295
26.08,296
29.42,297
26.99,298
26.7,299
26.19,300
24.31,301
