hours,price
1.0,27.73
2.0,25.8
3.0,25.02
4.0,24.81
5.0,24.73
6.0,25.14
7.0,26.08
8.0,28.72
9.0,31.62
10.0,33.78
11.0,35.73
12.0,36.32
13.0,34.85
14.0,32.35
15.0,30.75
16.0,30.93
17.0,34.4
18.0,51.42
19.0,44.73
20.0,43.72
21.0,42.82
22.0,36.42
23.0,32.47
24.0,28.54
25.0,27.29
26.0,25.8
27.0,25.21
28.0,25.1
29.0,24.95
30.0,24.94
31.0,26.36
32.0,30.03
33.0,32.75
34.0,34.88
35.0,35.9
36.0,35.45
37.0,34.22
38.0,33.91
39.0,32.94
40.0,33.26
41.0,37.79
42.0,57.03
43.0,57.28
44.0,54.99
45.0,53.9
46.0,46.18
47.0,37.22
48.0,35.62
49.0,36.3
50.0,35.18
51.0,34.95
52.0,34.96
53.0,35.64
54.0,40.08
55.0,49.33
56.0,60.01
57.0,50.15
58.0,51.21
59.0,50.77
60.0,46.05
61.0,41.43
62.0,40.83
63.0,39.54
64.0,39.47
65.0,43.14
66.0,65.67
67.0,63.26
68.0,58.99
69.0,60.76
70.0,50.01
71.0,39.67
72.0,38.17
73.0,34.14
74.0,32.76
75.0,31.91
76.0,31.49
77.0,32.93
78.0,37.11
79.0,53.15
80.0,64.11
81.0,47.88
82.0,45.66
83.0,44.94
84.0,41.23
85.0,38.47
86.0,37.68
87.0,36.76
88.0,36.32
89.0,39.01
90.0,53.02
91.0,50.34
92.0,48.62
93.0,50.34
94.0,45.19
95.0,37.99
96.0,34.87
97.0,38.58
98.0,37.81
99.0,36.51
100.0,36.84
101.0,37.32
102.0,40.11
103.0,57.17
104.0,63.31
105.0,50.59
106.0,48.16
107.0,46.78
108.0,44.39
109.0,41.92
110.0,40.81
111.0,39.99
112.0,39.84
113.0,42.17
114.0,61.43
115.0,58.23
116.0,53.28
117.0,55.07
118.0,47.22
119.0,40.65
120.0,38.69
121.0,40.01
122.0,38.91
123.0,38.4
124.0,37.71
125.0,38.62
126.0,42.97
127.0,64.9
128.0,71.26
129.0,58.95
130.0,60.32
131.0,59.15
132.0,52.38
133.0,46.16
134.0,43.23
135.0,42.06
136.0,41.8
137.0,43.85
138.0,66.12
139.0,61.54
140.0,57.77
141.0,60.19
142.0,50.56
143.0,41.84
144.0,38.27
145.0,36.91
146.0,34.61
147.0,34.07
148.0,33.89
149.0,35.6
150.0,37.75
151.0,53.26
152.0,61.55
153.0,55.58
154.0,55.76
155.0,57.86
156.0,54.46
157.0,47.68
158.0,45.24
159.0,44.44
160.0,43.83
161.0,47.34
162.0,67.51
163.0,63.9
164.0,58.48
165.0,55.3
166.0,52.01
167.0,44.81
168.0,41.16
169.0,37.98
170.0,36.15
171.0,35.05
172.0,34.97
173.0,35.23
174.0,36.17
175.0,40.34
176.0,45.03
177.0,49.51
178.0,51.46
179.0,50.33
180.0,47.07
181.0,42.77
182.0,40.59
183.0,40.06
184.0,40.42
185.0,44.39
186.0,68.86
187.0,65.54
188.0,57.97
189.0,57.49
190.0,52.21
191.0,46.07
192.0,40.66
193.0,41.3
194.0,41.24
195.0,40.39
196.0,40.31
197.0,40.11
198.0,40.73
199.0,44.66
200.0,49.54
201.0,50.98
202.0,52.24
203.0,47.07
204.0,43.86
205.0,42.3
206.0,40.98
207.0,40.08
208.0,39.69
209.0,43.41
210.0,67.75
211.0,66.0
212.0,64.1
213.0,58.97
214.0,53.41
215.0,43.5
216.0,41.5
217.0,46.91
218.0,46.56
219.0,45.66
220.0,45.84
221.0,45.98
222.0,53.97
223.0,78.33
224.0,86.38
225.0,70.0
226.0,64.88
227.0,62.19
228.0,55.99
229.0,49.35
230.0,48.4
231.0,45.7
232.0,44.62
233.0,49.49
234.0,77.88
235.0,76.58
236.0,64.34
237.0,59.65
238.0,54.96
239.0,47.24
240.0,44.91
241.0,44.79
242.0,43.16
243.0,42.55
244.0,43.28
245.0,44.15
246.0,49.03
247.0,64.26
248.0,81.06
249.0,68.21
250.0,69.97
251.0,71.22
252.0,67.91
253.0,60.06
254.0,57.32
255.0,53.21
256.0,52.88
257.0,59.89
258.0,87.68
259.0,82.01
260.0,70.28
261.0,68.7
262.0,57.4
