iteration,accepted,npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,mean_NPV,std_NPV,med_NPV
0.0,first,1193.0,-1170.0,-3863.75,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8291.0,2361284777.31,7865099.35246,2364595105.35
1.0,rejected,1193.0,-1175.0,-7803.53932192,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2513.0,2286391810.89,3839377.68815,2287446264.38
2.0,rerun,1193.0,-1170.0,-3863.75,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8291.0,2353218320.2,1613672.56845,2352550876.67
3.0,rejected,1193.0,-1175.0,-7448.29495682,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,22322.6173656,2308313861.58,5395434.27428,2308442328.75
4.0,rerun,1193.0,-1170.0,-3863.75,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8291.0,2352327682.19,2935949.78098,2352066731.71
5.0,rejected,1193.0,-1067.18578537,-3966.73443512,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2513.0,2300460601.75,2529623.36219,2301746442.61
6.0,rerun,1193.0,-1170.0,-3863.75,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8291.0,2354432536.88,1246910.0602,2354473140.66
7.0,accepted,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,11273.4804129,2377981694.26,1399417.15807,2377704795.56
8.0,rejected,1193.0,-1139.7147195,-4671.3801085,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8227.5460148,2324615626.63,6486737.47644,2321883858.59
9.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,11273.4804129,2380738649.44,4848201.10802,2381840859.8
10.0,rejected,1193.0,-1152.09890424,-4030.81078209,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,11705.4225454,2344306118.03,3801255.91607,2343093104.8
11.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,11273.4804129,2380759023.65,3384759.00936,2379221599.11
12.0,rejected,1193.0,-1175.0,-3454.17203943,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,9968.29403982,2367687760.12,2874080.50952,2367824378.31
13.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,11273.4804129,2381417105.79,4202271.58599,2380326420.94
14.0,rejected,1193.0,-1160.9651332,-3143.55410813,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,11177.4606377,2366073174.97,7215488.54578,2365598415.33
15.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,11273.4804129,2381936921.25,4319660.56556,2380284613.79
16.0,accepted,1193.0,-1175.0,-2680.22876307,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,13112.759958,2383781828.56,7220934.41882,2383431080.19
17.0,rejected,1193.0,-1175.0,-2939.3062156,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,15254.1241164,2378329194.16,4685629.72758,2378526625.31
18.0,rerun,1193.0,-1175.0,-2680.22876307,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,13112.759958,2377231478.26,3338193.28133,2376345060.42
19.0,rejected,1193.0,-1159.57332829,-2622.13182108,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,13143.2298711,2376553639.65,202440.312782,2376488649.38
20.0,rerun,1193.0,-1175.0,-2680.22876307,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,13112.759958,2382191827.57,4681278.99642,2381654367.66
21.0,rejected,1193.0,-1173.76679945,-2919.76550252,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,12685.262024,2376102887.39,7019701.74865,2374566321.55
22.0,rerun,1193.0,-1175.0,-2680.22876307,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,13112.759958,2381264174.5,6395078.90982,2384000560.68
23.0,accepted,1193.0,-1175.0,-2577.09943597,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,12513.1733643,2381914762.13,4447720.82765,2379870165.93
24.0,rejected,1193.0,-1175.0,-2651.58952372,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,13047.2590524,2379928403.33,6663412.43471,2377882708.85
25.0,rerun,1193.0,-1175.0,-2577.09943597,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,12513.1733643,2379480915.72,3856979.47512,2377860938.61
26.0,rejected,1193.0,-1173.39634448,-2541.74029688,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,12123.9052568,2378769771.9,8081856.5228,2374277248.29
27.0,rerun,1193.0,-1175.0,-2577.09943597,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,12513.1733643,2383031691.5,6929944.16672,2383719094.39
28.0,accepted,1193.0,-1175.0,-2542.69235321,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,12698.3501777,2383373790.52,2612665.19253,2384230853.15
