iteration,accepted,npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,mean_NPV,std_NPV,med_NPV
0.0,first,1193.0,-1170.0,-3863.75,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,8292.0,2489582281.68,1882062.64269,2490450708.42
1.0,accepted,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,34826.4711154,2509165055.1,3570599.08725,2507897440.32
2.0,rejected,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,49459.4278471,2507361832.48,2969653.88861,2505903187.65
3.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,34826.4711154,2513717084.2,2343014.80357,2513031541.25
4.0,rejected,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,56534.7508598,2501222578.18,3205952.90304,2499936573.6
5.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,34826.4711154,2507575398.76,4843203.4229,2506333423.03
6.0,rejected,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,45984.8261064,2506078102.99,3729398.12938,2507924783.98
7.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,34826.4711154,2512508899.28,7413541.89258,2515762989.48
8.0,rejected,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,42305.645793,2506782196.71,1613329.15175,2507221238.34
9.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,34826.4711154,2511023457.97,3901335.27306,2511813067.64
10.0,rejected,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,38994.8338693,2505929920.65,3859848.9177,2504300996.97
11.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,34826.4711154,2515673227.91,6603037.2697,2512766413.21
12.0,rejected,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,32709.8514389,2505366636.62,2290361.27419,2504473762.92
13.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,34826.4711154,2507660429.41,8149738.39731,2503947256.89
14.0,rejected,1193.0,-1170.37678985,-3222.72405703,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,36526.1753178,2494514503.34,8119402.21919,2491685458.22
15.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,34826.4711154,2512204172.05,6244440.6156,2514098249.26
16.0,rejected,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,36632.8417705,2510481488.69,2817575.65507,2511523659.08
17.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,34826.4711154,2507431018.52,4198732.60109,2507858131.78
18.0,rejected,1193.0,-1175.0,-2729.54159896,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,35985.4211789,2507674009.9,6353908.64821,2510878831.18
19.0,rerun,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,34826.4711154,2509277676.51,5806946.16354,2509723662.95
20.0,accepted,1193.0,-1175.0,-2513.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,34899.3845718,2511280155.24,6302567.25102,2507957700.4
