price,hour
9.56,1
5.47,2
5.27,3
5.71,4
7.94,5
10.32,6
12.33,7
15.73,8
17.71,9
16.44,10
17.01,11
15.39,12
15.48,13
15.47,14
16.19,15
15.27,16
16.78,17
25.39,18
27.82,19
19.77,20
18.01,21
17.31,22
17.67,23
18.44,24
14.22,25
12.96,26
12.39,27
12.31,28
12.64,29
12.41,30
20.8,31
18.95,32
18.92,33
17.45,34
14.75,35
13.75,36
13.55,37
13.19,38
13.09,39
12.99,40
13.62,41
21.04,42
19.87,43
21.11,44
21.45,45
21.18,46
17.61,47
17.72,48
18.79,49
17.93,50
16.87,51
15.4,52
15.14,53
15.82,54
16.03,55
18.87,56
26.31,57
27.99,58
21.17,59
18.62,60
17.41,61
15.39,62
15.68,63
14.1,64
14.31,65
16.66,66
16.34,67
15.36,68
14.95,69
13.28,70
15.52,71
13.57,72
9.64,73
8.01,74
8.53,75
10.79,76
10.39,77
11.94,78
12.81,79
14.1,80
15.65,81
15.0,82
14.92,83
14.77,84
15.36,85
15.9,86
15.96,87
15.29,88
16.42,89
21.94,90
27.75,91
19.51,92
18.52,93
16.01,94
15.86,95
15.83,96
14.27,97
14.76,98
14.72,99
14.61,100
16.03,101
18.4,102
36.28,103
31.67,104
22.09,105
19.7,106
17.83,107
17.13,108
16.39,109
14.85,110
13.1,111
12.77,112
13.5,113
16.91,114
18.0,115
18.99,116
19.74,117
20.53,118
17.74,119
16.78,120
15.81,121
15.39,122
14.49,123
14.77,124
15.36,125
18.29,126
31.85,127
25.61,128
20.22,129
19.09,130
17.26,131
16.13,132
15.69,133
14.93,134
14.28,135
13.61,136
15.66,137
19.79,138
19.36,139
18.06,140
16.0,141
15.34,142
14.79,143
15.99,144
13.39,145
13.71,146
13.73,147
12.98,148
13.49,149
15.42,150
28.76,151
25.32,152
18.34,153
18.12,154
15.92,155
14.7,156
13.06,157
12.36,158
12.45,159
12.72,160
13.19,161
16.68,162
15.46,163
15.1,164
14.87,165
14.41,166
11.07,167
9.86,168
8.95,169
8.71,170
8.54,171
9.25,172
10.38,173
11.52,174
17.81,175
16.44,176
17.46,177
17.28,178
15.68,179
17.04,180
16.39,181
16.43,182
17.2,183
18.08,184
19.61,185
26.03,186
20.83,187
18.47,188
16.33,189
13.98,190
12.63,191
12.47,192
9.52,193
7.92,194
9.82,195
11.73,196
13.53,197
14.72,198
21.29,199
19.29,200
19.17,201
23.03,202
21.26,203
19.14,204
18.48,205
17.02,206
16.4,207
16.48,208
16.9,209
20.27,210
18.99,211
16.88,212
14.66,213
14.51,214
13.13,215
11.4,216
10.54,217
8.14,218
8.03,219
7.68,220
11.65,221
19.47,222
14.81,223
12.97,224
18.52,225
16.73,226
19.03,227
19.41,228
15.84,229
14.41,230
14.15,231
14.61,232
16.03,233
31.13,234
30.08,235
21.15,236
18.27,237
15.27,238
14.65,239
13.74,240
12.58,241
12.35,242
12.17,243
12.65,244
12.92,245
16.43,246
15.87,247
17.66,248
17.1,249
17.24,250
15.62,251
12.89,252
12.93,253
13.73,254
13.83,255
13.3,256
15.16,257
26.52,258
29.69,259
23.82,260
18.79,261
17.53,262
16.21,263
15.67,264
14.06,265
13.05,266
12.17,267
11.65,268
11.83,269
12.94,270
24.99,271
18.13,272
15.81,273
15.06,274
14.31,275
13.76,276
13.36,277
12.97,278
13.19,279
12.43,280
13.32,281
16.74,282
18.35,283
15.68,284
15.87,285
16.09,286
14.08,287
14.08,288
11.61,289
11.04,290
11.56,291
11.7,292
12.68,293
14.41,294
20.42,295
19.84,296
18.19,297
20.58,298
19.63,299
19.05,300
17.55,301
16.56,302
15.48,303
14.31,304
14.89,305
18.58,306
17.99,307
15.76,308
14.86,309
13.91,310
13.61,311
9.73,312
6.92,313
6.96,314
6.61,315
7.67,316
11.11,317
13.71,318
15.28,319
15.42,320
15.58,321
17.15,322
19.01,323
20.48,324
20.07,325
19.21,326
20.63,327
20.01,328
22.5,329
28.3,330
22.13,331
16.49,332
16.14,333
15.06,334
13.78,335
12.96,336
10.62,337
8.95,338
8.07,339
9.04,340
9.71,341
14.2,342
15.31,343
16.53,344
16.23,345
17.01,346
16.68,347
17.22,348
16.53,349
16.47,350
16.96,351
16.92,352
17.62,353
28.88,354
24.89,355
20.78,356
20.1,357
18.97,358
16.51,359
15.11,360
16.68,361
15.6,362
14.68,363
14.79,364
17.35,365
19.29,366
29.38,367
26.02,368
21.28,369
20.58,370
19.82,371
17.91,372
15.79,373
17.01,374
15.57,375
14.62,376
14.06,377
15.48,378
14.15,379
14.51,380
14.43,381
14.06,382
14.91,383
14.43,384
12.43,385
11.62,386
11.69,387
13.08,388
9.37,389
10.4,390
11.94,391
11.18,392
13.53,393
15.38,394
14.94,395
15.52,396
15.6,397
13.08,398
14.02,399
13.36,400
13.61,401
22.22,402
23.35,403
18.94,404
16.72,405
15.9,406
14.99,407
14.44,408
14.54,409
13.35,410
14.32,411
14.9,412
15.27,413
16.23,414
17.42,415
20.48,416
25.94,417
22.5,418
17.91,419
15.63,420
14.71,421
13.41,422
13.76,423
13.61,424
14.98,425
22.39,426
35.28,427
27.58,428
23.85,429
20.03,430
18.03,431
16.71,432
14.81,433
14.09,434
14.2,435
14.43,436
14.74,437
19.36,438
35.65,439
34.01,440
28.61,441
23.92,442
19.37,443
17.01,444
16.04,445
14.94,446
14.07,447
14.25,448
15.19,449
22.85,450
32.2,451
23.63,452
20.37,453
17.03,454
16.19,455
15.34,456
12.85,457
12.97,458
13.07,459
13.45,460
14.92,461
17.74,462
41.56,463
30.12,464
19.18,465
16.48,466
16.85,467
12.87,468
12.66,469
13.19,470
12.14,471
11.94,472
12.81,473
12.32,474
14.82,475
14.48,476
14.25,477
13.16,478
11.76,479
12.69,480
10.17,481
9.92,482
9.56,483
10.95,484
11.3,485
14.6,486
18.2,487
17.98,488
17.06,489
16.61,490
17.28,491
15.39,492
13.57,493
14.73,494
14.86,495
14.4,496
15.32,497
22.56,498
27.03,499
21.79,500
21.02,501
16.76,502
15.38,503
15.8,504
13.11,505
12.83,506
12.84,507
13.13,508
12.73,509
13.92,510
23.91,511
21.44,512
17.43,513
15.86,514
14.92,515
14.5,516
15.26,517
13.81,518
13.28,519
13.49,520
14.94,521
22.87,522
30.06,523
23.39,524
20.45,525
17.74,526
16.03,527
15.3,528
14.23,529
13.78,530
13.78,531
13.77,532
15.32,533
21.15,534
36.53,535
33.8,536
24.28,537
18.98,538
17.98,539
14.02,540
14.22,541
13.61,542
13.4,543
13.51,544
14.12,545
20.19,546
19.34,547
16.44,548
14.96,549
14.29,550
14.45,551
13.34,552
13.4,553
11.19,554
11.9,555
12.29,556
12.92,557
13.94,558
13.27,559
15.2,560
17.11,561
14.15,562
12.38,563
11.89,564
11.25,565
11.51,566
11.8,567
11.87,568
12.61,569
22.07,570
23.88,571
16.25,572
16.1,573
15.49,574
16.46,575
14.97,576
14.65,577
13.59,578
13.56,579
13.63,580
13.92,581
14.67,582
14.86,583
16.47,584
19.58,585
19.24,586
17.96,587
17.39,588
16.76,589
14.17,590
14.01,591
14.42,592
15.05,593
24.6,594
32.49,595
24.51,596
19.59,597
15.8,598
15.87,599
15.13,600
12.31,601
12.0,602
12.08,603
11.73,604
12.13,605
15.45,606
27.73,607
23.05,608
21.93,609
18.7,610
17.15,611
15.78,612
14.88,613
14.65,614
13.69,615
13.33,616
13.83,617
18.05,618
19.64,619
15.18,620
14.82,621
13.49,622
13.51,623
12.72,624
8.43,625
7.92,626
7.3,627
8.01,628
9.83,629
12.9,630
24.77,631
19.7,632
20.77,633
19.31,634
17.25,635
14.54,636
13.03,637
12.01,638
11.35,639
10.71,640
12.66,641
15.56,642
21.19,643
16.85,644
17.64,645
16.92,646
13.01,647
12.26,648
13.34,649
12.6,650
13.1,651
15.4,652
15.85,653
16.76,654
33.4,655
30.53,656
22.6,657
20.21,658
19.33,659
19.05,660
17.61,661
16.23,662
15.06,663
14.28,664
14.9,665
23.82,666
25.63,667
17.77,668
15.94,669
15.13,670
15.44,671
14.86,672
11.9,673
12.18,674
12.41,675
13.85,676
14.51,677
18.4,678
34.89,679
30.14,680
24.54,681
23.12,682
21.55,683
19.05,684
17.88,685
16.12,686
15.2,687
16.89,688
19.53,689
29.45,690
33.24,691
24.89,692
21.46,693
20.17,694
16.55,695
15.07,696
16.07,697
14.72,698
14.0,699
13.92,700
15.34,701
18.47,702
37.03,703
23.66,704
18.89,705
16.69,706
16.03,707
13.97,708
13.68,709
13.84,710
13.73,711
13.6,712
15.48,713
23.13,714
26.66,715
24.83,716
22.34,717
19.23,718
17.35,719
15.97,720
12.43,721
11.72,722
11.26,723
11.11,724
11.58,725
13.62,726
14.52,727
14.89,728
20.41,729
22.59,730
21.38,731
17.79,732
15.1,733
13.94,734
14.07,735
12.9,736
13.88,737
16.37,738
18.26,739
15.53,740
14.53,741
13.94,742
11.72,743
11.17,744
9.88,745
8.2,746
7.29,747
8.1,748
9.41,749
10.09,750
14.33,751
17.38,752
16.12,753
15.24,754
14.17,755
13.27,756
11.66,757
9.53,758
9.0,759
8.86,760
8.39,761
7.83,762
9.62,763
9.0,764
8.34,765
9.02,766
8.9,767
7.43,768
5.94,769
5.64,770
5.85,771
5.62,772
6.53,773
8.53,774
14.07,775
15.02,776
15.22,777
16.41,778
16.27,779
12.6,780
13.97,781
14.26,782
15.18,783
14.14,784
13.76,785
18.58,786
15.25,787
13.78,788
12.39,789
12.6,790
12.68,791
11.25,792
5.58,793
5.03,794
4.82,795
5.58,796
8.92,797
14.07,798
14.28,799
14.83,800
15.36,801
16.79,802
16.18,803
16.15,804
16.41,805
16.81,806
17.72,807
16.77,808
15.96,809
19.24,810
21.82,811
16.92,812
16.04,813
14.63,814
14.26,815
12.83,816
14.27,817
14.09,818
13.9,819
14.97,820
15.84,821
19.43,822
27.94,823
23.4,824
20.28,825
19.44,826
17.42,827
16.96,828
18.13,829
17.34,830
17.14,831
16.33,832
16.13,833
22.6,834
40.13,835
29.31,836
21.97,837
19.43,838
20.09,839
16.83,840
17.97,841
17.45,842
17.42,843
17.75,844
18.6,845
21.4,846
51.38,847
40.37,848
29.78,849
24.93,850
20.62,851
18.13,852
15.77,853
14.82,854
13.22,855
12.7,856
13.38,857
16.5,858
26.02,859
24.16,860
16.65,861
15.01,862
14.61,863
14.07,864
13.61,865
13.01,866
12.36,867
12.66,868
13.76,869
17.88,870
36.98,871
32.32,872
26.88,873
22.59,874
18.72,875
15.95,876
14.98,877
14.51,878
14.9,879
13.85,880
14.17,881
14.45,882
19.28,883
16.79,884
15.14,885
14.81,886
15.81,887
14.39,888
11.79,889
11.87,890
13.21,891
14.52,892
17.22,893
19.25,894
22.03,895
27.55,896
32.57,897
24.01,898
15.36,899
14.24,900
13.84,901
13.01,902
12.05,903
12.65,904
12.65,905
15.18,906
17.55,907
14.04,908
12.42,909
11.73,910
8.66,911
8.15,912
5.64,913
5.08,914
4.58,915
4.38,916
4.43,917
4.21,918
6.33,919
8.94,920
10.81,921
11.44,922
12.97,923
12.85,924
14.38,925
14.04,926
14.72,927
15.02,928
16.33,929
22.04,930
23.56,931
17.35,932
14.21,933
12.83,934
12.27,935
10.43,936
5.6,937
6.45,938
9.27,939
9.9,940
12.73,941
13.05,942
17.09,943
17.45,944
17.97,945
20.1,946
22.93,947
21.51,948
20.02,949
19.9,950
19.21,951
19.05,952
19.96,953
30.22,954
39.77,955
26.02,956
22.36,957
20.7,958
16.85,959
14.94,960
15.8,961
15.44,962
15.99,963
15.08,964
13.18,965
15.93,966
41.64,967
18.11,968
20.62,969
16.69,970
15.76,971
16.06,972
