hours,price
1.0,17.51
2.0,17.51
3.0,17.09
4.0,16.56
5.0,15.82
6.0,15.82
7.0,15.93
8.0,17.1
9.0,18.53
10.0,21.8
11.0,23.52
12.0,24.07
13.0,24.8
14.0,24.14
15.0,24.89
16.0,22.33
17.0,23.42
18.0,50.79
19.0,30.1
20.0,25.0
21.0,24.12
22.0,22.94
23.0,18.34
24.0,14.8
25.0,11.16
26.0,9.17
27.0,9.67
28.0,13.03
29.0,16.97
30.0,21.02
31.0,24.22
32.0,23.95
33.0,26.67
34.0,24.98
35.0,25.06
36.0,25.12
37.0,25.74
38.0,25.24
39.0,25.36
40.0,24.23
41.0,24.29
42.0,40.94
43.0,36.86
44.0,27.32
45.0,25.18
46.0,24.94
47.0,24.31
48.0,21.91
49.0,21.43
50.0,20.87
51.0,21.0
52.0,22.27
53.0,22.86
54.0,24.69
55.0,43.96
56.0,34.91
57.0,29.95
58.0,28.1
59.0,25.97
60.0,24.83
61.0,24.79
62.0,23.62
63.0,22.87
64.0,22.61
65.0,23.68
66.0,34.18
67.0,30.22
68.0,26.83
69.0,23.85
70.0,23.25
71.0,22.48
72.0,20.33
73.0,19.7
74.0,19.52
75.0,19.44
76.0,20.0
77.0,20.95
78.0,22.81
79.0,33.63
80.0,30.93
81.0,26.09
82.0,25.05
83.0,23.56
84.0,23.35
85.0,23.02
86.0,22.94
87.0,22.4
88.0,21.96
89.0,22.53
90.0,33.57
91.0,29.24
92.0,26.47
93.0,25.24
94.0,23.25
95.0,23.05
96.0,23.42
97.0,20.33
98.0,19.98
99.0,20.01
100.0,20.52
101.0,21.05
102.0,24.26
103.0,33.45
104.0,35.36
105.0,31.11
106.0,29.31
107.0,33.86
108.0,29.68
109.0,26.98
110.0,25.46
111.0,24.73
112.0,23.98
113.0,25.52
114.0,55.01
115.0,48.64
116.0,38.44
117.0,34.92
118.0,32.39
119.0,26.62
120.0,24.1
121.0,27.78
122.0,26.79
123.0,26.56
124.0,26.8
125.0,27.81
126.0,34.01
127.0,43.81
128.0,47.97
129.0,96.14
130.0,74.68
131.0,43.5
132.0,34.77
133.0,26.22
134.0,22.54
135.0,21.63
136.0,20.93
137.0,22.7
138.0,32.65
139.0,36.88
140.0,30.71
141.0,26.61
142.0,26.67
143.0,23.95
144.0,21.49
145.0,21.0
146.0,20.81
147.0,20.66
148.0,20.61
149.0,21.23
150.0,22.68
151.0,25.93
152.0,38.24
153.0,32.16
154.0,27.49
155.0,22.81
156.0,22.3
157.0,22.67
158.0,20.47
159.0,19.42
160.0,19.07
161.0,19.33
162.0,29.27
163.0,28.94
164.0,26.94
165.0,24.33
166.0,22.9
167.0,20.85
168.0,19.77
169.0,19.4
170.0,19.05
171.0,18.94
172.0,18.96
173.0,18.74
174.0,22.2
175.0,35.08
176.0,37.35
177.0,25.32
178.0,23.23
179.0,22.75
180.0,22.86
181.0,22.66
182.0,22.65
183.0,21.48
184.0,20.32
185.0,19.85
186.0,30.6
187.0,25.76
188.0,23.09
189.0,21.01
190.0,19.49
191.0,13.84
192.0,9.18
193.0,7.57
194.0,7.17
195.0,6.39
196.0,6.85
197.0,8.48
198.0,15.29
199.0,23.64
200.0,32.67
201.0,29.18
202.0,31.99
203.0,28.03
204.0,25.07
205.0,25.14
206.0,27.18
207.0,25.96
208.0,27.24
209.0,30.6
210.0,51.43
211.0,39.93
212.0,27.55
213.0,24.79
214.0,25.17
215.0,20.77
216.0,19.47
217.0,4.45
218.0,2.9
219.0,2.71
220.0,2.59
221.0,3.3
222.0,7.32
223.0,23.09
224.0,22.36
225.0,22.79
226.0,23.43
227.0,24.39
228.0,25.82
229.0,24.61
230.0,25.27
231.0,25.8
232.0,26.25
233.0,27.0
234.0,37.47
235.0,32.09
