"Eastern Date Hour","Gen Name","Gen PTID","DAM Gen LBMP","DAM Gen Losses","DAM Gen Congestion","DAM Gen Price Version"
"2012/01/01 00:00:00","GINNA____","23603","26.55","-2.59","0","1"
"2012/01/01 01:00:00","GINNA____","23603","25.13","-2.43","0","1"
"2012/01/01 02:00:00","GINNA____","23603","22.8","-2.23","0","1"
"2012/01/01 03:00:00","GINNA____","23603","21.96","-2.15","0","1"
"2012/01/01 04:00:00","GINNA____","23603","21.54","-2.16","0","1"
"2012/01/01 05:00:00","GINNA____","23603","22.83","-2.31","0","1"
"2012/01/01 06:00:00","GINNA____","23603","24.08","-2.35","0","1"
"2012/01/01 07:00:00","GINNA____","23603","24.22","-2.33","-0.33","1"
"2012/01/01 08:00:00","GINNA____","23603","25.46","-2.71","-0.21","1"
"2012/01/01 09:00:00","GINNA____","23603","27.85","-2.93","-0.29","1"
"2012/01/01 10:00:00","GINNA____","23603","27.97","-2.9","-0.33","1"
"2012/01/01 11:00:00","GINNA____","23603","28.11","-2.75","-0.29","1"
"2012/01/01 12:00:00","GINNA____","23603","28.03","-2.69","-0.15","1"
"2012/01/01 13:00:00","GINNA____","23603","28.09","-2.51","0","1"
"2012/01/01 14:00:00","GINNA____","23603","26.8","-2.36","0","1"
"2012/01/01 15:00:00","GINNA____","23603","24.55","-2.18","-0.14","1"
"2012/01/01 16:00:00","GINNA____","23603","31.06","-2.54","-1.06","1"
"2012/01/01 17:00:00","GINNA____","23603","35.13","-2.41","-3.05","1"
"2012/01/01 18:00:00","GINNA____","23603","30.99","-2.32","-2.01","1"
"2012/01/01 19:00:00","GINNA____","23603","30.31","-2.16","-1.62","1"
"2012/01/01 20:00:00","GINNA____","23603","29.47","-2.31","-1","1"
"2012/01/01 21:00:00","GINNA____","23603","31.86","-2.65","-0.56","1"
"2012/01/01 22:00:00","GINNA____","23603","25.42","-2.23","-0.14","1"
"2012/01/01 23:00:00","GINNA____","23603","26.1","-2.87","-0.01","1"
"2012/01/02 00:00:00","GINNA____","23603","26.37","-2.26","0","1"
"2012/01/02 01:00:00","GINNA____","23603","24.55","-1.96","0","1"
"2012/01/02 02:00:00","GINNA____","23603","22.67","-1.86","0","1"
"2012/01/02 03:00:00","GINNA____","23603","21.94","-1.75","0","1"
"2012/01/02 04:00:00","GINNA____","23603","21.66","-1.76","0","1"
"2012/01/02 05:00:00","GINNA____","23603","22.9","-1.86","0","1"
"2012/01/02 06:00:00","GINNA____","23603","27.02","-2.19","0","1"
"2012/01/02 07:00:00","GINNA____","23603","28.86","-2.18","-0.38","1"
"2012/01/02 08:00:00","GINNA____","23603","28.41","-2.24","-0.42","1"
"2012/01/02 09:00:00","GINNA____","23603","29.7","-2.29","-0.68","1"
