price,hour
20.42,1
20.1,2
18.78,3
17.48,4
17.44,5
18.93,6
15.13,7
18.18,8
20.42,9
20.57,10
20.49,11
20.62,12
20.49,13
20.41,14
20.4,15
20.49,16
22.66,17
31.82,18
30.0,19
24.85,20
24.02,21
22.33,22
22.92,23
20.51,24
19.14,25
17.4,26
17.45,27
17.43,28
17.51,29
20.08,30
20.3,31
20.65,32
22.8,33
24.41,34
23.28,35
23.33,36
22.65,37
22.42,38
22.91,39
22.7,40
25.68,41
34.33,42
31.07,43
26.99,44
25.53,45
22.82,46
22.0,47
20.41,48
20.21,49
19.11,50
17.55,51
17.72,52
17.42,53
18.09,54
19.8,55
19.09,56
20.81,57
20.71,58
22.12,59
22.62,60
21.79,61
20.21,62
20.25,63
20.21,64
21.47,65
24.18,66
23.76,67
21.01,68
20.43,69
20.28,70
20.31,71
18.24,72
15.02,73
12.53,74
12.24,75
11.95,76
11.95,77
12.26,78
11.97,79
14.55,80
15.03,81
18.31,82
19.4,83
20.11,84
19.79,85
19.69,86
19.57,87
20.23,88
20.56,89
23.73,90
23.41,91
20.99,92
20.47,93
20.28,94
20.44,95
18.09,96
18.09,97
18.48,98
18.1,99
18.6,100
18.85,101
20.59,102
24.46,103
30.93,104
35.37,105
34.47,106
34.91,107
33.25,108
31.25,109
30.29,110
29.69,111
29.44,112
37.8,113
52.47,114
50.64,115
48.93,116
43.34,117
37.55,118
35.84,119
26.36,120
23.56,121
22.83,122
23.02,123
22.93,124
24.4,125
33.36,126
40.34,127
51.22,128
47.66,129
37.58,130
35.74,131
33.93,132
32.32,133
31.47,134
30.93,135
32.88,136
45.49,137
61.31,138
54.03,139
49.9,140
43.88,141
34.39,142
26.52,143
21.48,144
32.0,145
31.92,146
32.29,147
31.12,148
34.63,149
34.08,150
47.05,151
60.76,152
62.79,153
47.19,154
40.88,155
48.67,156
41.59,157
41.21,158
43.01,159
58.16,160
108.11,161
153.45,162
139.21,163
128.75,164
115.98,165
106.78,166
70.09,167
46.85,168
40.85,169
38.69,170
39.32,171
40.82,172
53.76,173
90.98,174
141.35,175
137.55,176
138.2,177
124.18,178
112.2,179
77.9,180
52.88,181
44.35,182
47.81,183
64.42,184
99.19,185
144.12,186
127.96,187
113.13,188
90.34,189
61.36,190
38.82,191
28.94,192
23.38,193
23.18,194
22.98,195
23.0,196
22.87,197
23.63,198
29.89,199
47.07,200
38.2,201
30.72,202
31.52,203
32.34,204
33.4,205
33.34,206
33.5,207
33.93,208
33.98,209
41.16,210
40.89,211
36.83,212
34.71,213
33.76,214
28.05,215
22.75,216
22.42,217
22.14,218
21.78,219
21.77,220
21.77,221
28.19,222
28.41,223
32.99,224
37.45,225
34.27,226
36.16,227
42.06,228
32.83,229
31.11,230
29.02,231
34.06,232
35.96,233
45.49,234
39.36,235
34.99,236
39.37,237
38.04,238
29.54,239
23.58,240
20.6,241
17.53,242
16.17,243
16.82,244
17.37,245
21.66,246
18.54,247
21.36,248
23.17,249
23.55,250
24.96,251
25.69,252
24.31,253
23.96,254
23.75,255
23.41,256
22.91,257
30.07,258
26.75,259
27.46,260
27.11,261
24.37,262
23.84,263
20.22,264
21.84,265
21.55,266
21.59,267
21.62,268
21.75,269
22.16,270
