npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-ft_capacity,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
894,-879,-22089,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,90000,ref,davis_besse,ohio,covid,2360759541,346980.5963,2360686142,2361237689,2360428190,2360455267,2361166572,4,1.20396E+11,0.021257615,0.308770944,7,7.29E-13,0.275353017,0.250027781
894,-879,-22089,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,45000,ref,davis_besse,ohio,covid,2359164482,94173.77185,2359204360,2359224268,2359024940,2359049787,2359223347,4,8868699304,0.042510505,0.308770944,4,7.29E-13,0.275353017,0.5
894,-879,-22089,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,davis_besse,ohio,covid,2357253020,1077.463929,2357252830,2357254372,2357252046,2357252079,2357254225,4,1160928.518,0.021252891,0.308770944,1,7.29E-13,0.275353017,0.249972219
894,-450,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,90000,ref,davis_besse,ohio,covid,1804277679,394879.7403,1804209806,1804748910,1803942196,1803944992,1804705389,4,1.5593E+11,0.062506945,0.5,17,7.29E-13,0.5,0.250027781
894,-450,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,45000,ref,davis_besse,ohio,covid,1802896236,3458648.61,1802556625,1807439724,1799031969,1799530624,1806737302,4,1.20E+13,0.125,0.5,14,7.29E-13,0.5,0.5
894,-450,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,davis_besse,ohio,covid,1777325757,4799876.648,1776454724,1783683855,1772709725,1773014587,1782856373,4,2.30E+13,0.062493055,0.5,11,7.29E-13,0.5,0.249972219
894,-100,-2513,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,90000,ref,davis_besse,ohio,covid,1557595513,6150409.192,1558941540,1563418828,1549080145,1550362730,1562943859,4,3.78E+13,0.010740951,0.191229056,27,7.29E-13,0.224646983,0.250027781
894,-100,-2513,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,davis_besse,ohio,covid,1555908920,7226818.707,1555415530,1563934198,1548870421,1549162772,1563345813,4,5.22E+13,0.010738564,0.191229056,21,7.29E-13,0.224646983,0.249972219
894,-100,-2513,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,45000,ref,davis_besse,ohio,covid,1549652502,4642483.167,1550208407,1554230557,1543962636,1544552441,1553974295,4,2.16E+13,0.021479515,0.191229056,24,7.29E-13,0.224646983,0.5
894,-879,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,45000,ref,davis_besse,ohio,covid,1431398508,969144.3488,1431555306,1432362144,1430121277,1430287934,1432289566,4,9.39241E+11,0.068838254,0.5,13,7.29E-13,0.275353017,0.5
894,-879,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,90000,ref,davis_besse,ohio,covid,1431065915,628072.0617,1431151388,1431596272,1430364612,1430415907,1431596261,4,3.94475E+11,0.034422952,0.5,16,7.29E-13,0.275353017,0.250027781
894,-879,-10000,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,davis_besse,ohio,covid,1321924160,6075597.178,1320924709,1329049280,1316797939,1316819817,1328427732,4,3.69E+13,0.034415302,0.5,10,7.29E-13,0.275353017,0.249972219
894,-450,-2513,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,45000,ref,davis_besse,ohio,covid,1203559844,7774895.135,1201880517,1214430860,1196047481,1196811593,1212659152,4,6.04E+13,0.047807264,0.191229056,23,7.29E-13,0.5,0.5
894,-450,-2513,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,90000,ref,davis_besse,ohio,covid,1197809112,8548602.615,1196473795,1209417844,1188871016,1189904445,1207583224,4,7.31E+13,0.023906288,0.191229056,26,7.29E-13,0.5,0.250027781
894,-450,-2513,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,davis_besse,ohio,covid,1156270811,7558710.489,1156340885,1164973994,1147427480,1148321513,1164122005,4,5.71E+13,0.023900976,0.191229056,20,7.29E-13,0.5,0.249972219
894,-879,-2513,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,45000,ref,davis_besse,ohio,covid,749888592.9,6537422.194,750065366.4,755552158.1,743871480.5,743979873.1,755549829.6,4,4.27E+13,0.026327749,0.191229056,22,7.29E-13,0.275353017,0.5
894,-879,-2513,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,90000,ref,davis_besse,ohio,covid,739526178.5,9939391.833,736339902.8,753970055.5,731454852.7,732026825.1,751486317.7,4,9.88E+13,0.013165337,0.191229056,25,7.29E-13,0.275353017,0.250027781
894,-879,-2513,-14.9,-1.00E+200,-1.00E+200,-1.00E+200,-1.00E+200,10,ref,davis_besse,ohio,covid,709980962.8,5259063.841,710876875.7,714454865.5,703715234.1,704290938.8,714416708.6,4,2.77E+13,0.013162412,0.191229056,19,7.29E-13,0.275353017,0.249972219
